member_name_original,member_name_normalized,member_name_display,party,matched,match_type,confidence,matched_candidate_name_original,matched_candidate_name_normalized,matched_candidate_name_display,election_year,election_file,notes
"Bean, Aaron",aaron bean,Aaron Bean,Republican,yes,exact,100,Aaron Bean,aaron bean,Aaron Bean,2022,congressional_elections_2022.csv,
"Schock, Aaron",aaron schock,Aaron Schock,Republican,yes,exact,100,Aaron Schock,aaron schock,Aaron Schock,2008,congressional_elections_2008.csv,
"Finkenauer, Abby",abby finkenauer,Abby Finkenauer,Democratic,yes,exact,100,Abby Finkenauer,abby finkenauer,Abby Finkenauer,2018,congressional_elections_2018.csv,
"Gray, Adam",adam gray,Adam Gray,Democratic,yes,exact,100,Adam Gray,adam gray,Adam Gray,2022,congressional_elections_2022.csv,
"Kinzinger, Adam",adam kinzinger,Adam Kinzinger,Republican,yes,exact,100,Adam Kinzinger,adam kinzinger,Adam Kinzinger,2010,congressional_elections_2010.csv,
"Smith, Adam",adam smith,Adam Smith,Democratic,yes,exact,100,Adam Smith,adam smith,Adam Smith,1996,congressional_elections_1996.csv,
"Smith, Adrian",adrian smith,Adrian Smith,Republican,yes,exact,100,Adrian Smith,adrian smith,Adrian Smith,2006,congressional_elections_2006.csv,
"Espaillat, Adriano",adriano espaillat,Adriano Espaillat,Democratic,yes,exact,100,Adriano Espaillat,adriano espaillat,Adriano Espaillat,2016,congressional_elections_2016.csv,
"Franken, Al",al franken,Al Franken,Democratic,yes,exact,100,Al Franken,al franken,Al Franken,2008,congressional_elections_2008.csv,
"Green, Al",al green,Al Green,Democratic,yes,exact,100,Al Green,al green,Al Green,2004,congressional_elections_2004.csv,
"Lawson, Al, Jr.",al lawson,Al Lawson,Democratic,yes,exact,100,"Al Lawson, Jr.",al lawson,Al Lawson,2012,congressional_elections_2012.csv,
"Swift, Al",al swift,Al Swift,Democratic,yes,exact,100,Al Swift,al swift,Al Swift,1992,congressional_elections_1992.csv,
"Grayson, Alan",alan grayson,Alan Grayson,Democratic,yes,exact,100,Alan Grayson,alan grayson,Alan Grayson,2008,congressional_elections_2008.csv,
"Grayson, Alan",alan grayson,Alan Grayson,Democratic,yes,exact,100,Alan Grayson,alan grayson,Alan Grayson,2008,congressional_elections_2008.csv,
"Nunnelee, Alan",alan nunnelee,Alan Nunnelee,Republican,yes,exact,100,Alan Nunnelee,alan nunnelee,Alan Nunnelee,2010,congressional_elections_2010.csv,
"Wheat, Alan",alan wheat,Alan Wheat,Democratic,yes,exact,100,Alan Wheat,alan wheat,Alan Wheat,1992,congressional_elections_1992.csv,
"Gore, Albert, Jr.",albert gore,Albert Gore,Democratic,yes,exact,100,"Albert Gore, Jr.",albert gore,Albert Gore,2012,congressional_elections_2012.csv,
"Gore, Albert, Jr.",albert gore,Albert Gore,Democratic,yes,exact,100,"Albert Gore, Jr.",albert gore,Albert Gore,2012,congressional_elections_2012.csv,
"Sires, Albio",albio sires,Albio Sires,Democratic,yes,exact,100,Albio Sires,albio sires,Albio Sires,2006,congressional_elections_2006.csv,
"Padilla, Alex",alex padilla,Alex Padilla,Democratic,yes,exact,100,Alex Padilla,alex padilla,Alex Padilla,2022,congressional_elections_2022.csv,
"Ocasio-Cortez, Alexandria",alexandria ocasio cortez,Alexandria Ocasio Cortez,Democratic,yes,exact,100,Alexandria Ocasio-Cortez,alexandria ocasio cortez,Alexandria Ocasio Cortez,2018,congressional_elections_2018.csv,
"D'Amato, Alfonse",alfonse damato,Alfonse Damato,Republican,yes,exact,100,Alfonse D'Amato,alfonse damato,Alfonse Damato,1992,congressional_elections_1992.csv,
